Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
It should not accept AlphaNumeric as valid input.,RET-142,10239,Bug,To Do,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Rajat Das,620b325df4d8af0070fca320,18/Feb/22 1:48 PM,18/Feb/22 3:56 PM,18/Feb/22 1:48 PM,,,0,,,Rajat Das,620b325df4d8af0070fca320,,,,,,,,,,,RET-87,,,,,,,,,,,,,{},,,,,,,0|i001gf:,,RET Sprint 2,,,,,,,,To Do
It should not accept Special Character as valid input.,RET-141,10238,Bug,To Do,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Rajat Das,620b325df4d8af0070fca320,18/Feb/22 1:43 PM,18/Feb/22 4:00 PM,18/Feb/22 1:44 PM,,,0,"Steps To Reproduce

# Navigate to the Retail Website.
# Click on Coupon under Marketing Section.
# The Plus '+' Icon. / The Edit Button.
# Enter Special Character as input.

Expected Result

# It should not accept Special Character

Actual Result

It accepts.

Screenshot

!image-20220218-103017.png|width=465,height=85!",,Rajat Das,620b325df4d8af0070fca320,,,,,,,,,,,RET-80,RET-85,,,,,,18/Feb/22 4:00 PM;ug:03f44e7f-288d-4758-8be1-ab7cb4280380;image-20220218-103017.png;https://ibmhaldia6.atlassian.net/secure/attachment/10004/image-20220218-103017.png,,,,,,{},,,,,,,0|i001g7:,,RET Sprint 2,,,,,,,,To Do
It should not accept Alphabets as valid input.,RET-140,10237,Bug,To Do,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Rajat Das,620b325df4d8af0070fca320,18/Feb/22 1:33 PM,18/Feb/22 3:55 PM,18/Feb/22 1:38 PM,,,0,,,Rajat Das,620b325df4d8af0070fca320,,,,,,,,,,,RET-81,RET-86,,,,,,,,,,,,{},,,,,,,0|i001fz:,,RET Sprint 2,,,,,,,,To Do
More than 5 digits not accepted.,RET-139,10236,Bug,To Do,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Rajat Das,620b325df4d8af0070fca320,18/Feb/22 1:32 PM,18/Feb/22 3:56 PM,18/Feb/22 1:38 PM,,,0,It should not take More than 5 digits as valid input.,,Rajat Das,620b325df4d8af0070fca320,,,,,,,,,,,RET-45,,,,,,,,,,,,,{},,,,,,,0|i001fr:,,RET Sprint 2,,,,,,,,To Do
More than 8 digits are not accepted,RET-138,10235,Bug,To Do,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Rajat Das,620b325df4d8af0070fca320,18/Feb/22 1:12 PM,18/Feb/22 3:56 PM,18/Feb/22 1:37 PM,,,0,It should not accept more than 8 digits.,,Rajat Das,620b325df4d8af0070fca320,,,,,,,,,,,RET-51,,,,,,,,,,,,,{},,,,,,,0|i001fj:,,RET Sprint 2,,,,,,,,To Do
Invalid Date Format,RET-137,10234,Bug,To Do,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Rajat Das,620b325df4d8af0070fca320,18/Feb/22 1:10 PM,18/Feb/22 3:56 PM,18/Feb/22 1:37 PM,,,0,"It should show the validation message ""Invalid Date Format"".",,Rajat Das,620b325df4d8af0070fca320,,,,,,,,,,,RET-72,,,,,,,,,,,,,{},,,,,,,0|i001fb:,,RET Sprint 2,,,,,,,,To Do
Date Start value can not be later than Date End value.,RET-136,10233,Bug,To Do,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Rajat Das,620b325df4d8af0070fca320,18/Feb/22 12:56 PM,18/Feb/22 3:55 PM,18/Feb/22 1:36 PM,,,0,It should show validation message saying date start value can not be later than date end value.,,Rajat Das,620b325df4d8af0070fca320,,,,,,,,,RET-79,,RET-78,,,,,,,,,,,,,{},,,,,,,0|i001f3:,,RET Sprint 2,,,,,,,,To Do
Half String not accepting,RET-135,10232,Bug,To Do,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Rajat Das,620b325df4d8af0070fca320,18/Feb/22 12:42 PM,18/Feb/22 3:55 PM,18/Feb/22 3:48 PM,,,0,"Steps To Reproduce

# Navigate to the Retail Website.
# Click on Report Section
Click on Orders under Customer Section.
# Enter fist name for any Recorded Record.

Expected Result

# It should show The Results containg the word searched.

Actual Result

Nothing shows.

Screenshot

!image-20220218-102234.png|width=1415,height=365!",,Rajat Das,620b325df4d8af0070fca320,,,,,,,,,,,RET-115,,,,,,,18/Feb/22 3:52 PM;ug:03f44e7f-288d-4758-8be1-ab7cb4280380;image-20220218-102234.png;https://ibmhaldia6.atlassian.net/secure/attachment/10003/image-20220218-102234.png,,,,,,{},,,,,,,0|i001ev:,,RET Sprint 2,,,,,,,,To Do
Verify the Go Back Button.,RET-134,10231,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:38 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,It should navigate to the Customer order report Filter Section.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001en:,,RET Sprint 2,,,,,,,,Done
Verify the Save Button.,RET-133,10230,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:38 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,It Should Save the Customer order report.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001ef:,,RET Sprint 2,,,,,,,,Done
Verify the Mandatory Fields in Customer Order Report Edit Section.,RET-132,10229,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:38 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"The Mandatory Fields are 

1. First Name

2. Last Name

3. E-Mail

4. Telephone

5. Password

6. Confirm Password",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001e7:,,RET Sprint 2,,,,,,,,Done
Verify the Edit Option.,RET-131,10228,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:38 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,It should Navigate to the relevant customer order report Edit Page.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001dz:,,RET Sprint 2,,,,,,,,Done
Verify that the Menu is accessible from the Customer Order Report Section.,RET-130,10227,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,It should be accessible.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001dr:,,RET Sprint 2,,,,,,,,Done
Verify the Pagination that it's written Total number of records and pages.,RET-129,10226,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,It should have a list of  Records.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001dj:,,RET Sprint 2,,,,,,,,Done
Verify the Pagination when the Order Records are more than 25.,RET-128,10225,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,It should have a list of  Records.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001db:,,RET Sprint 2,,,,,,,,Done
"Verify the Page Crumb ""Home"".",RET-127,10224,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,It should navigate to the Dashboard Section.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001d3:,,RET Sprint 2,,,,,,,,Done
"Verify the Page Crumb ""Customer Order Report"".",RET-126,10223,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,It should navigate to the Customer Order Report Section.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001cv:,,RET Sprint 2,,,,,,,,Done
Verify the Filter Button.,RET-125,10222,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,It should Filter out all the matching Results as per Input.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001cn:,,RET Sprint 2,,,,,,,,Done
Verify Order Statuses Field's type.,RET-124,10221,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Drop Down List.
2. It Should contain All options as per SRS..
3. Only One Option Should Select.
4. It should be ""All Statuses"" by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001cf:,,RET Sprint 2,,,,,,,,Done
Verify the Order Statuses Field with more than one Option.,RET-123,10220,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Drop Down List.
2. It Should contain All options as per SRS..
3. Only One Option Should Select.
4. It should be ""All Statuses"" by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001c7:,,RET Sprint 2,,,,,,,,Done
Verify that the Order Statuses Field's all options can be accessible.,RET-122,10219,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Drop Down List.
2. It Should contain All options as per SRS..
3. Only One Option Should Select.
4. It should be ""All Statuses"" by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001bz:,,RET Sprint 2,,,,,,,,Done
Verify the Order Statuses Field has all the value as per SRS.,RET-121,10218,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Drop Down List.
2. It Should contain All options as per SRS..
3. Only One Option Should Select.
4. It should be ""All Statuses"" by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001br:,,RET Sprint 2,,,,,,,,Done
Verify the Order Statuses Field's Placeholder.,RET-120,10217,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Drop Down List.
2. It Should contain All options as per SRS..
3. Only One Option Should Select.
4. It should be ""All Statuses"" by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001bj:,,RET Sprint 2,,,,,,,,Done
Verify the Customer Field Case Sensitivity.,RET-119,10216,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,It should Filter out all the matching Results as per Input inspite of Case.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001bb:,,RET Sprint 2,,,,,,,,Done
Verify the Customer Field's Placeholder.,RET-118,10215,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It should be valid data from Records.
2. Numeric Value not allowed.
3. No Special Character allowed.
4. It will show all the result matching the input data.
5. White Spaces also Not Allowed.
6. It will have a Placeholder ""Customer"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001b3:,,RET Sprint 2,,,,,,,,Done
Verify the Customer Field with only Numeric Character.,RET-117,10214,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It should be valid data from Records.
2. Numeric Value not allowed.
3. No Special Character allowed.
4. It will show all the result matching the input data.
5. White Spaces also Not Allowed.
6. It will have a Placeholder ""Customer"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001av:,,RET Sprint 2,,,,,,,,Done
Verify the Customer Field with Special Characters.,RET-116,10213,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It should be valid data from Records.
2. Numeric Value not allowed.
3. No Special Character allowed.
4. It will show all the result matching the input data.
5. White Spaces also Not Allowed.
6. It will have a Placeholder ""Customer"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001an:,,RET Sprint 2,,,,,,,,Done
Verify the Customer Field with first name.,RET-115,10212,Test,Blocked,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:42 PM,21/Feb/22 10:05 AM,,,0,"Acceptance Criteria :-

1. It should be valid data from Records.
2. Numeric Value not allowed.
3. No Special Character allowed.
4. It will show all the result matching the input data.
5. White Spaces also Not Allowed.
6. It will have a Placeholder ""Customer"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001af:,,RET Sprint 2,,,,,,,,In Progress
Verify the Customer Field with invalid data.,RET-114,10211,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It should be valid data from Records.
2. Numeric Value not allowed.
3. No Special Character allowed.
4. It will show all the result matching the input data.
5. White Spaces also Not Allowed.
6. It will have a Placeholder ""Customer"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i001a7:,,RET Sprint 2,,,,,,,,Done
Verify the Customer Field with valid data.,RET-113,10210,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It should be valid data from Records.
2. Numeric Value not allowed.
3. No Special Character allowed.
4. It will show all the result matching the input data.
5. White Spaces also Not Allowed.
6. It will have a Placeholder ""Customer"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i0019z:,,RET Sprint 2,,,,,,,,Done
Verify the Customer Field with Blank Value.,RET-112,10209,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It should be valid data from Records.
2. Numeric Value not allowed.
3. No Special Character allowed.
4. It will show all the result matching the input data.
5. White Spaces also Not Allowed.
6. It will have a Placeholder ""Customer"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i0019r:,,RET Sprint 2,,,,,,,,Done
Verify the Customer Field with White Space.,RET-111,10208,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It should be valid data from Records.
2. Numeric Value not allowed.
3. No Special Character allowed.
4. It will show all the result matching the input data.
5. White Spaces also Not Allowed.
6. It will have a Placeholder ""Customer"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i0019j:,,RET Sprint 2,,,,,,,,Done
Verify the Date End Field with a value earlier than Date Start.,RET-110,10207,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:37 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4."" Date Start"" should be before than ""Date End"".
5. ""Date End"" It's value should be before ""Date Start"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-15,,,,,,,,,,,,,{},,,,,,,0|i0019b:,,RET Sprint 2,,,,,,,,Done
