Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that Date Start value is earlier than Date End.,RET-77,10174,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4."" Date Start"" should be before than ""Date End"".
5. ""Date End"" It's value should be before ""Date Start"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i00127:,,RET Sprint 2,,,,,,,,Done
Verify the Date End Field has a calender beside it.,RET-76,10173,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4. It should have a Placeholder ""Date End"".
5. It's value should be before ""Date Start"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0011z:,,RET Sprint 2,,,,,,,,Done
Verify that Date End Field with invalid date format.,RET-75,10172,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4. It should have a Placeholder ""Date End"".
5. It's value should be before ""Date Start"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0011r:,,RET Sprint 2,,,,,,,,Done
Verify the Date End Field's Type.,RET-74,10171,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4. It should have a Placeholder ""Date End"".
5. It's value should be before ""Date Start"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0011j:,,RET Sprint 2,,,,,,,,Done
Verify the Date Start Field has a calender beside it.,RET-73,10170,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4. It should have a Placeholder ""Date Start"".
5. It's value should be before ""Date End"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0011b:,,RET Sprint 2,,,,,,,,Done
Verify that Date Start Field with invalid date format.,RET-72,10169,Test,Blocked,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:42 PM,21/Feb/22 10:05 AM,,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4. It should have a Placeholder ""Date Start"".
5. It's value should be before ""Date End"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i00113:,,RET Sprint 2,,,,,,,,In Progress
Verify the Date Start Field's Type.,RET-71,10168,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Field Type Should be a Date.
2. It Should only accept in YYYY-MM-DD format.
3. It should have a calendar beside it.
4. It should have a Placeholder ""Date Start"".
5. It's value should be before ""Date End"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0010v:,,RET Sprint 2,,,,,,,,Done
Verify Catagory Field's type.,RET-70,10167,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Textbox.
2. It Should Show List of Suggestion.
3. More than one Option Can be Selected.
4. It should have a Placeholder ""Catagory"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0010n:,,RET Sprint 2,,,,,,,,Done
Verify the Catagory Field that more than one product can be selected.,RET-69,10166,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:43 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Textbox.
2. It Should Show List of Suggestion.
3. More than one Option Can be Selected.
4. It should have a Placeholder ""Catagory"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i0010f:,,RET Sprint 2,,,,,,,,Done
Verify that the Catagory Field's all options can be selected.,RET-68,10165,Test,Blocked,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:42 PM,21/Feb/22 10:05 AM,,,0,"Acceptance Criteria :-

1. It's Type Should be a Textbox.
2. It Should Show List of Suggestion.
3. More than one Option Can be Selected.
4. It should have a Placeholder ""Catagory"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i00107:,,RET Sprint 2,,,,,,,,In Progress
Verify the Catagory Field has all the value as per SRS.,RET-67,10164,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Textbox.
2. It Should Show List of Suggestion.
3. More than one Option Can be Selected.
4. It should have a Placeholder ""Catagory"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000zz:,,RET Sprint 2,,,,,,,,Done
Verify the Catagory Field's Placeholder.,RET-66,10163,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 10:03 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Textbox.
2. It Should Show List of Suggestion.
3. More than one Option Can be Selected.
4. It should have a Placeholder ""Catagory"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000zr:,,RET Sprint 2,,,,,,,,Done
Verify Product Field's type.,RET-65,10162,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 9:57 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Textbox.
2. It Should Show List of Suggestion.
3. More than one Option Can be Selected.
4. It should have a Placeholder ""Products"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000zj:,,RET Sprint 2,,,,,,,,Done
Verify the Products Field that more than one product can be selected.,RET-64,10161,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Textbox.
2. It Should Show List of Suggestion.
3. More than one Option Can be Selected.
4. It should have a Placeholder ""Products"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000zb:,,RET Sprint 2,,,,,,,,Done
Verify that the Products Field's all options can be selected.,RET-63,10160,Test,Blocked,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:42 PM,21/Feb/22 10:05 AM,,,0,"Acceptance Criteria :-

1. It's Type Should be a Textbox.
2. It Should Show List of Suggestion.
3. More than one Option Can be Selected.
4. It should have a Placeholder ""Products"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000z3:,,RET Sprint 2,,,,,,,,In Progress
Verify the Products Field has all the Suggestion as per SRS.,RET-62,10159,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Textbox.
2. It Should Show List of Suggestion.
3. More than one Option Can be Selected.
4. It should have a Placeholder ""Products"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000yv:,,RET Sprint 2,,,,,,,,Done
Verify the Products Field's Placeholder.,RET-61,10158,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Textbox.
2. It Should Show List of Suggestion.
3. More than one Option Can be Selected.
4. It should have a Placeholder ""Products"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000yn:,,RET Sprint 2,,,,,,,,Done
Verify the Free Shipping Field that only one option is selected.,RET-60,10157,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Radio Button.
2. It Should contain Yes and No as Options.
3. Only One Option Should Select.
4. It should be No by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000yf:,,RET Sprint 2,,,,,,,,Done
Verify the Free Shipping Field's Default Value.,RET-59,10156,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Radio Button.
2. It Should contain Yes and No as Options.
3. Only One Option Should Select.
4. It should be No by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000y7:,,RET Sprint 2,,,,,,,,Done
Verify the Free Shipping Field's Type.,RET-58,10155,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Radio Button.
2. It Should contain Yes and No as Options.
3. Only One Option Should Select.
4. It should be No by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000xz:,,RET Sprint 2,,,,,,,,Done
Verify the Customer Login Field that only one option is selected.,RET-57,10154,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Radio Button.
2. It Should contain Yes and No as Options.
3. Only One Option Should Select.
4. It should be No by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000xr:,,RET Sprint 2,,,,,,,,Done
Verify the Customer Login Field's Default Value.,RET-56,10153,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Radio Button.
2. It Should contain Yes and No as Options.
3. Only One Option Should Select.
4. It should be No by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000xj:,,RET Sprint 2,,,,,,,,Done
Verify the Customer Login Field's Type.,RET-55,10152,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Radio Button.
2. It Should contain Yes and No as Options.
3. Only One Option Should Select.
4. It should be No by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000xb:,,RET Sprint 2,,,,,,,,Done
Verify the Total Amount Field's Placeholder.,RET-54,10151,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 1 and 8 Characters.
2. Only Numeric Value allowed.
3. No Special Character allowed.
4. No Blank Value.
5. White Spaces also Not Allowed.
6. Can not be Blank.
7. It should have a PlaceHolder ""Total Amount""",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000x3:,,RET Sprint 2,,,,,,,,Done
Verify the Total Amount Field with Blank Value.,RET-53,10150,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 1 and 8 Characters.
2. Only Numeric Value allowed.
3. No Special Character allowed.
4. No Blank Value.
5. White Spaces also Not Allowed.
6. Can not be Blank.
7. It should have a PlaceHolder ""Total Amount""",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000wv:,,RET Sprint 2,,,,,,,,Done
Verify the Total Amount Field with White Spaces.,RET-52,10149,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 1 and 8 Characters.
2. Only Numeric Value allowed.
3. No Special Character allowed.
4. No Blank Value.
5. White Spaces also Not Allowed.
6. Can not be Blank.
7. It should have a PlaceHolder ""Total Amount""",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000wn:,,RET Sprint 2,,,,,,,,Done
Verify the Total Amount Field with More than 8 Number.,RET-51,10148,Test,Blocked,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:42 PM,21/Feb/22 10:05 AM,,,0,"Acceptance Criteria :-

1. It Must be Between 1 and 8 Characters.
2. Only Numeric Value allowed.
3. No Special Character allowed.
4. No Blank Value.
5. White Spaces also Not Allowed.
6. Can not be Blank.
7. It should have a PlaceHolder ""Total Amount""",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000wf:,,RET Sprint 2,,,,,,,,In Progress
Verify the Total Amount Field with Character.,RET-50,10147,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 1 and 8 Characters.
2. Only Numeric Value allowed.
3. No Special Character allowed.
4. No Blank Value.
5. White Spaces also Not Allowed.
6. Can not be Blank.
7. It should have a PlaceHolder ""Total Amount""",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000w7:,,RET Sprint 2,,,,,,,,Done
Verify the Total Amount Field with Special Character.,RET-49,10146,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,18/Feb/22 1:02 PM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 1 and 8 Characters.
2. Only Numeric Value allowed.
3. No Special Character allowed.
4. No Blank Value.
5. White Spaces also Not Allowed.
6. Can not be Blank.
7. It should have a PlaceHolder ""Total Amount""",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000vz:,,RET Sprint 2,,,,,,,,Done
Verify the Discount Field with White Spaces.,RET-48,10145,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 1 and 4 Characters.
2. Only Numeric Value allowed.
3. No Special Character allowed.
4. No Blank Value.
5. Only White Spaces also Not Allowed.
6. It should have a placeholder ""Discount.""",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000vr:,,RET Sprint 2,,,,,,,,Done
Verify the Discount Field with Blank Value.,RET-47,10144,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:42 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 1 and 4 Characters.
2. Only Numeric Value allowed.
3. No Special Character allowed.
4. No Blank Value.
5. Only White Spaces also Not Allowed.
6. It should have a placeholder ""Discount.""",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000vj:,,RET Sprint 2,,,,,,,,Done
